intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,wave_min,wave_max,distance
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757-o006_t006_nirspec_g140m-f100lp,10.823500000000001,41.462500000000006,cube,"van Dokkum, Pieter",3,60642.4713903588,60642.48506828704,875.332,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.75244209,4757,GO,,POLYGON 10.822532293 41.461778857 10.822532293 41.463223301 10.82445981 41.463223301 10.82445981 41.461778857,mast:JWST/product/jw04757-o006_t006_nirspec_g140m-f100lp_s3d.jpg,mast:JWST/product/jw04757-o006_t006_nirspec_g140m-f100lp_s3d.fits,PUBLIC,False,,233287518,700.0,5000.0,788.3891720017721
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00001_nrs1,10.823500000000001,41.462500000000006,cube,"van Dokkum, Pieter",2,60642.48878320602,60642.48928976852,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.75083328,4757,GO,,POLYGON 10.822566696 41.461772337 10.822566696 41.46310567 10.824420075 41.46310567 10.824420075 41.461772337,mast:JWST/product/jw04757006001_02103_00001_nrs1_cal.jpg,mast:JWST/product/jw04757006001_02103_00001_nrs1_s3d.fits,PUBLIC,False,,233287413,700.0,5000.0,788.4124100971429
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00003_nrs1,10.823500000000001,41.462500000000006,cube,"van Dokkum, Pieter",2,60642.49165430556,60642.49216086805,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.75268515,4757,GO,,POLYGON 10.822506407 41.461811195 10.822506407 41.463144528 10.824359787 41.463144528 10.824359787 41.461811195,mast:JWST/product/jw04757006001_02103_00003_nrs1_cal.jpg,mast:JWST/product/jw04757006001_02103_00003_nrs1_s3d.fits,PUBLIC,False,,233287409,700.0,5000.0,788.4587286595785
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00004_nrs1,10.823500000000001,41.462500000000006,cube,"van Dokkum, Pieter",2,60642.49300541667,60642.49351197917,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.7512731,4757,GO,,POLYGON 10.822632184 41.461857745 10.822632184 41.463191078 10.824485565 41.463191078 10.824485565 41.461857745,mast:JWST/product/jw04757006001_02103_00004_nrs1_cal.jpg,mast:JWST/product/jw04757006001_02103_00004_nrs1_s3d.fits,PUBLIC,False,,233287415,700.0,5000.0,788.7668745614378
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00002_nrs1,10.823500000000001,41.462500000000006,cube,"van Dokkum, Pieter",2,60642.49013431713,60642.49064087963,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.75379627,4757,GO,,POLYGON 10.822571969 41.461896611 10.822571969 41.463229944 10.824425352 41.463229944 10.824425352 41.461896611,mast:JWST/product/jw04757006001_02103_00002_nrs1_cal.jpg,mast:JWST/product/jw04757006001_02103_00002_nrs1_s3d.fits,PUBLIC,False,,233287408,700.0,5000.0,788.8132924246621
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00001_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.4887009838,60642.4892075463,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.69407397,4757,GO,,POLYGON 10.822675641 41.462543792 10.823657375 41.46304276 10.824313129 41.462336645 10.823331678 41.461837623,mast:JWST/product/jw04757006001_02103_00001_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02103_00001_nrs2_rateints.fits,PUBLIC,False,,233287406,700.0,5000.0,789.5977506707853
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02101_00001_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.471477025465,60642.474178668985,218.833,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.74548602,4757,GO,,POLYGON 10.82267592 41.462543758 10.823657652 41.463042728 10.824313409 41.462336614 10.82333196 41.46183759,mast:JWST/product/jw04757006001_02101_00001_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02101_00001_nrs2_rateints.fits,PUBLIC,False,,233287507,700.0,5000.0,789.5980144809665
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02101_00003_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.47873849537,60642.48144013889,218.833,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.73814804,4757,GO,,POLYGON 10.822615481 41.462582551 10.823597215 41.463081519 10.82425297 41.462375404 10.823271519 41.461876382,mast:JWST/product/jw04757006001_02101_00003_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02101_00003_nrs2_rateints.fits,PUBLIC,False,,233287494,700.0,5000.0,789.6434641592006
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00003_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.49157208333,60642.49207864583,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.69425915,4757,GO,,POLYGON 10.822615394 41.462582624 10.823597129 41.463081592 10.824252883 41.462375477 10.823271432 41.461876455,mast:JWST/product/jw04757006001_02103_00003_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02103_00003_nrs2_rateints.fits,PUBLIC,False,,233287407,700.0,5000.0,789.643602337953
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02101_00004_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.4822844213,60642.48498606482,218.833,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.69619199,4757,GO,,POLYGON 10.822741181 41.462629093 10.823722917 41.46312806 10.824378671 41.462421944 10.823397218 41.461922923,mast:JWST/product/jw04757006001_02101_00004_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02101_00004_nrs2_rateints.fits,PUBLIC,False,,233287414,700.0,5000.0,789.9519646791588
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00004_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.493092083336,60642.49359864584,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.69457161,4757,GO,,POLYGON 10.822741121 41.462629212 10.823722858 41.463128179 10.824378611 41.462422064 10.823397159 41.461923042,mast:JWST/product/jw04757006001_02103_00004_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02103_00004_nrs2_rateints.fits,PUBLIC,False,,233287410,700.0,5000.0,789.9522679225377
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02101_00002_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.47502369213,60642.47772533565,218.833,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.74528926,4757,GO,,POLYGON 10.822681058 41.462667942 10.823662794 41.463166911 10.82431855 41.462460796 10.823337098 41.461961773,mast:JWST/product/jw04757006001_02101_00002_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02101_00002_nrs2_rateints.fits,PUBLIC,False,,233287508,700.0,5000.0,789.998011912932
science,JWST,CALJWST,NIRSPEC/IFU,JWST,F100LP;G140M,INFRARED,B163-G217,Stellar Cluster; Globular star clusters,jw04757006001_02103_00002_nrs2,10.823500000000001,41.462500000000006,image,"van Dokkum, Pieter",2,60642.4902209838,60642.4907275463,29.178,INFRARED,700.0,5000.0,Using water to test for variation in the stellar initial mass function,60642.69427073,4757,GO,,POLYGON 10.82268093 41.462668036 10.823662667 41.463167004 10.824318422 41.462460889 10.823336969 41.461961867,mast:JWST/product/jw04757006001_02103_00002_nrs2_rateints.jpg,mast:JWST/product/jw04757006001_02103_00002_nrs2_rateints.fits,PUBLIC,False,,233287412,700.0,5000.0,789.9981622135446
science,JWST,APT,MIRI/IFU,JWST,F560W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx103_00003_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,5000.0,6200.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,3,POLYGON 10.95111281028 41.44893952299 10.95229300557 41.44881549746 10.9521051115 41.44778424791 10.95092074674 41.44792241037,,,PUBLIC,False,,278799196,5000.0,6200.0,966.1791360174362
science,JWST,APT,MIRI/IFU,JWST,F770W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx107_00003_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,6600.0,8800.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,7,POLYGON 10.95111281028 41.44893952299 10.95229300557 41.44881549746 10.9521051115 41.44778424791 10.95092074674 41.44792241037,,,PUBLIC,False,,278799236,6600.0,8800.0,966.1791360174362
science,JWST,APT,MIRI/IFU,JWST,F1000W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx10b_00003_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,9000.0,11000.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,11,POLYGON 10.95111281028 41.44893952299 10.95229300557 41.44881549746 10.9521051115 41.44778424791 10.95092074674 41.44792241037,,,PUBLIC,False,,278799284,9000.0,11000.0,966.1791360174362
science,JWST,APT,MIRI/IFU,JWST,F560W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx101_00001_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,5000.0,6200.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,1,POLYGON 10.95102089233 41.44902498453 10.95220108935 41.44890095994 10.9520131965 41.44786971024 10.95082882998 41.44800787176,,,PUBLIC,False,,278799133,5000.0,6200.0,966.1993322033519
science,JWST,APT,MIRI/IFU,JWST,F770W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx105_00001_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,6600.0,8800.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,5,POLYGON 10.95102089233 41.44902498453 10.95220108935 41.44890095994 10.9520131965 41.44786971024 10.95082882998 41.44800787176,,,PUBLIC,False,,278799220,6600.0,8800.0,966.1993322033519
science,JWST,APT,MIRI/IFU,JWST,F1000W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx109_00001_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,9000.0,11000.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,9,POLYGON 10.95102089233 41.44902498453 10.95220108935 41.44890095994 10.9520131965 41.44786971024 10.95082882998 41.44800787176,,,PUBLIC,False,,278799242,9000.0,11000.0,966.1993322033519
science,JWST,APT,MIRI/IFU,JWST,F560W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx104_00004_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,5000.0,6200.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,4,POLYGON 10.95179996807 41.44859017493 10.9529801557 41.44846614238 10.95279225172 41.44743489394 10.95160789479 41.44757306345,,,PUBLIC,False,,278799217,5000.0,6200.0,966.7257975393984
science,JWST,APT,MIRI/IFU,JWST,F770W,INFRARED,M31-CLUSTER-445,,jw06852003001_xx108_00004_miri,10.951922916666666,41.44823611111111,spectrum,"Goldman, Steven",-1,,,1242.276,INFRARED,6600.0,8800.0,Calibrating Stellar Evolutionary Models using M31 Clusters,,6852,GO,8,POLYGON 10.95179996807 41.44859017493 10.9529801557 41.44846614238 10.95279225172 41.44743489394 10.95160789479 41.44757306345,,,PUBLIC,False,,278799241,6600.0,8800.0,966.7257975393984
